ID,Section Title,Section Data,Section Type,Parent Sections,Related Sections,
130,Spinal Malformations,"Ovine hereditary chondrodysplasia or ""spider lamb syndrome"" causes skeletal deformities due to abnormal bone and cartilage growth. Some severely affected lambs die soon after birth due to facial deformities, abnormal spines or ribs, and a lack of muscle and fat. Some lambs initially cope well but have a reduced life expectancy due to deformities of the forelimbs. Lambs with this condition have issues walking and nursing (8). This condition is genetic and there are commercial tests available to test for it in breeding stock, although these are often not economical. 

Cervical vertebral malformations are damaged areas of the cervical (neck) region of the spine.
It can cause mobility issues, and difficulty nursing as well as a reduced quality of life (9). Furthermore, the spinal cord can be affected. This can cause weakness in all limbs (although hindlimbs tend to be more affected) and issues with coordination and balance (1).",Expandable,125,,
131,Limb Malformations,"- Arthrogryposis is when joints are very stiff and unable to flex. It is most commonly seen in the joints of the front legs of lambs. Often affected lambs are unable to stand and nurse. The rigidity of the joints can cause difficulty during the birthing process. If the lamb is born live, they should be promptly euthanised to reduce suffering. The condition has a strong genetic basis (10), as well as being associated with ewe infection with Bluetongue Virus during pregnancy (11) or the ingestion of toxins (e.g. the lupine plant). 
- lambs can be born with bowed, crooked or bent legs. This can be due to abnormal development of the tendon or bone during pregnancy. Depending on the severity of the condition, lambs can be healthy with slight reduced mobility, may be permanently lame or need to be euthanised. Causes can be toxic, genetic or infectious. 
- swayback is when lambs are unable to coordinate their legs and have an uncoordinated gait. Some lambs appear unaffected at birth but it becomes more obvious at birth, some lambs are severely affected, and some are stillborn. This is caused by copper deficiency during the ewe's pregnancy affecting the development of the central nervous system. The condition is irreversible (12).",Expandable,125,,
132,Other Malformations,"- Hernias are holes in the abdominal wall. Pieces of internal matter can poke out of the hole and sit just beneath the skin. They are commonly seen near the navel. Small hernias can be left untreated and monitored, however larger or hernias which change in size should be treated by a vet. Hernias can be caused by navel infection or genetic predispositions (5). 
- Cryptorchidism is when a lamb's testicle(s) fail to descend. They are retained anywhere between the kidney area to the pelvis or near the scrotum. They contribute to ram infertility, as well as ""accidental rams"" which were believed to be castrated. There is a strong genetic component to this condition (1). 
- Atresia ani is when a lamb appears to have no anus. Lambs appear to be well initially, but within a few days become bloated and unwell due to being unable to pass faeces. Some females will be able to expel faeces via the vagina, but for males it is always fatal. Veterinary intervention is often uneconomical and unsuccessful. Euthanasia is recommended. Genetics play a role in this condition. 
- Hypospadia is the malformation of the urethra causing it to be located at a location other than the tip of the penis. This malformation often goes unnoticed, but can cause urine scalding (13).",Expandable,125,,
133,Effects of Birth Defects,"Lambs who have birth defects might suffer from:
- lamb mortality
- reduced quality of life
- reduced colostrum intake due to mobility issues, weakness or inability to compete with litter mates
- starvation due to lack of colostrum
- hypothermia due to lack of energy which is needed to keep themselves warm. This can be either due to a prolonged birthing process which has used up the brown fat reserves initially used for heat production, or due to reduced colostrum intake which is needed as a subsequent source of energy. 
- mismothering as they may not be able to keep up with the ewe",Expandable,125,,
134,Preventing Birth Defects,"Birth defects can be prevented by
- selection of breeding stock so sheep with known issues are not bred from again, especially rams
- good hygiene practices will prevent disease in ewes, and hence the passing of disease from ewe to foetus
- correct ewe nutrition will ensure ewes get all trace elements required to form a healthy lamb
- avoid ewes ingesting toxins by regularly checking fields for toxic plants or materials and providing plenty of alternative forage. 
- take care when administering drugs or wormers during pregnancy as some may not be suitable for pregnant ewes.",Expandable,125,,
135,References,"(1) Scott P. Some common genetic defects in sheep. UK Vet Livestock. 2012;17(2):42-5. Available from: https://doi.org/10.1111/j.2044-3870.2011.00056.x
(2)  McCarter P. Eye Diseases in Sheep [cited 2021 August 22]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/eye-diseases-in-sheep/.
(3)  Mousel MR, Reynolds JO, White SN. Genome-Wide Association Identifies SLC2A9 and NLN Gene Regions as Associated with Entropion in Domestic Sheep. PLOS ONE. 2015;10(6):e0128909. Available from: https://doi.org/10.1371/journal.pone.0128909
(4) Becker D, Tetens J, Brunner A, Bürstel D, Ganter M, Kijas J, et al. Microphthalmia in Texel Sheep Is Associated with a Missense Mutation in the Paired-Like Homeodomain 3 (PITX3) Gene. PLOS ONE. 2010;5(1):e8689. Available from: https://doi.org/10.1371/journal.pone.0008689
(5) FAI. Care of the Newborn Lamb [cited 2021 August 24]. Available from: https://www.faifarms.com/downloads/best-practice-guides-to-caring-for-newborn-lambs/
(6) Dennis SM. Congenital Defects of Sheep. Veterinary Clinics of North America: Food Animal Practice. 1993;9(1):203-17. Available from: https://doi.org/10.1016/S0749-0720(15)30681-2
(7) MSD, Packer R. Congenital and Inherited  Cerebellar Disorders  in Animals; 2020 [cited 2021 August 24]. Available from: https://www.msdvetmanual.com/nervous-system/congenital-and-inherited-anomalies-of-the-nervous-system/congenital-and-inherited-cerebellar-disorders-in-animals.
(8) Young A. Ovine hereditary chondrodysplasia (Spider Lamb Syndrome); 2020 [cited 2021 August 23]. Available from: https://healthtopics.vetmed.ucdavis.edu/health-topics/ovine-hereditary-chondrodysplasia-spider-lamb-syndrome.
(9) Fonteque J, Souza A, Müller T, Gonçalves R, Granella M, Mendes R, et al. Congenital cervical vertebral malformation in lambs. Acta Scientiae Veterinariae. 2018;46:1-8. Available from: http://dx.doi.org/10.22456/1679-9216.86287
(10) Doherty ML, Kelley EP, Healy AM, Callanan JJ, Crosby TF, Skelly C, et al. Congenital arthrogryposis: an inherited limb deformity in pedigree Suffolk lambs. Vet Rec. 2000;146(26):748-53. Available from: https://doi.org/10.1136/vr.146.26.748
(11) Maclachlan NJ, Osburn BI. Teratogenic bluetongue and related orbivirus infections in pregnant ruminant livestock: timing and pathogen genetics are critical. Curr Opin Virol. 2017;27:31-5. Available from: https://doi.org/10.1016/j.coviro.2017.10.002
(12) Government of Western Australia, Erickson A. Copper deficiency in sheep and cattle; 2019 [cited 2021 August 22]. Available from: https://www.agric.wa.gov.au/feeding-nutrition/copper-deficiency-sheep-and-cattle.
(13) Smith KC, Brown P, Parkinson TJ. Hypospadias in rams. Vet Rec. 2006;158(23):789-95. Available from: https://doi.org/10.1136/vr.158.23.789",Expandable,125,,
136,Dystocia (Lambing Difficulties),,Button,99,"105, 109, 115, 102",Causes
137,Predisposing Factors,"Things that are likely to predispose ewes to dystocia are:
- ewe nutrition is important in determining the ease of lambing. Thin ewes may not have enough energy to birth quickly. Fat ewes will have fat deposits near the birth canal which make expelling the lamb more difficult. (1)
- number of lambs in a litter influences the size of each lamb, which influences the ease of lambing. If a ewe is only expecting one lamb, all her energy will be devoted to helping it grow so it will be large and hard to birth, so is associated with a high risk of dystocia (2). Triplets or quadruplets will be significantly smaller and easier to fit through the birth canal, but can suffer complications due to multiple lambs being in the birthing canal at the same time or malpresentation. Hence, high and low birthweights have been shown to be associated with higher rates of dystocia (3). Twins are often seen as ideal. 
- stress has been known to increase the level of dystocia as ewes will pause lambing when stressed due to hormone releases (3). Often this is detrimental for the lamb. Stress can be caused by transport between locations, herding, dog worrying and handling. 
- genetics play a role in how easily the ewe will give birth. Some breeds are easier to lamb than others (4), and some specific ewes may have bodily features which make it easier or harder to lamb (eg narrow hips) or may be more prone to malpresentation of lambs 
- certain ewe diseases increase the prevalence of lamb malformations eg Schmallenberg Virus (5). Malformed lambs can be hard to birth due to their alternative body shape. Disease like pregnancy toxaemia can also reduce the energy an ewe has for labour and hence increase the incidence of dystocia (6)",Expandable,136,,
138,What is Dystocia?,"Dystocia is difficult or slow labour. There are a variety of reasons it occurs. 

If the lamb is not presented properly, it will be much more difficult to get out. Instead of being born head and front feet first (often called the ""dive position"") it may be coming backwards (tail first), with a front leg(s) back, or breech (7). This usually requires intervention unless the lamb is particularly small. If multiple lambs present at the same time (for example legs from two different lambs are in the birth canal) labour will also not be able to progress normally. If the lamb(s) becomes stuck in the birth canal for a prolonged period of time, there is a risk of death of the lamb and the other lambs still in the uterus (3). 

Large lambs can struggle to fit through the birth canal, even when presented correctly and carried by a strong fit ewe. The largest lambs tend to be produced by ewes only carrying one lamb (8). 

If the cervix fails to dilate in a condition called ringwomb, the lamb is obstructed from being born as it cannot exit the uterus despite contractions. 

In some cases the uterus of the ewe will not contract properly to expel the foetus. This can be due to ewe disease like pregnancy toxaemia or hypocalcaemia or physical injuries eg to the abdominal wall (3). The contracting activity of the uterus can also be disrupted by stress during labour. 

In some cases the uterus will contract correctly initially, but stop before the lamb is born. This can be due to prolonged labour, stress or the lamb being in the wrong position (3).",Expandable,136,,
139,Effects of Dystocia,"Lambs who have suffered from dystocia might suffer from:
- stillbirth and increased lamb mortality
- death of the ewe due to tears in the reproductive tract and an increased chance of infection from assistance during the birth
- injuries as a result of the difficult birth like fractured ribs and liver or brain damage
- lambs take longer to stand and nurse after a difficult birth (8). They will have a reduced colostrum intake for this reason. This will increase the risk of lamb disease, starvation and hypothermia. 
- mismothering is more common if the birth was difficult as the ewe is more likely to be in pain and feeling unwell, so will will be less interested in the lamb. Lambs may also have suffered from brain damage due to low oxygen levels during the birthing process so may be less good at identifying and following their mothers. 
- hypothermia can be more common due to the lamb spending excessive time in the birth canal and using up its brown fat reserves.",Expandable,136,,
140,Preventing Dystocia,"Dystocia can be prevented by:
- correct ewe nutrition as dystocia tends to be higher in over and under fed ewes (1)
- good hygiene measures to prevent ewe disease during pregnancy
- choosing breeding stock for ewes who lamb easily, rams who are an appropriate size for the ewe and not retaining old or weak ewes who may suffer from prolonged labour. 
- reducing stress around lambing
- close observation of pregnant ewes so intervention can happen quickly if needed",Expandable,136,,
141,References,"(1) HCC. Making Every Lamb Count; 2011 [cited 2021 August 24]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(2) Menzies PI. Lambing Management and Neonatal Care. Current Therapy in Large Animal Theriogenology. 2007:680-95. Available from: https://dx.doi.org/10.1016%2FB978-072169323-1.50094-5
(3) Jacobson C, Bruce M, Kenyon PR, Lockwood A, Miller D, Refshauge G, et al. A review of dystocia in sheep. Small Ruminant Research. 2020;192:106209. Available from: https://doi.org/10.1016/j.smallrumres.2020.106209
(4) Dwyer CM, Bünger L. Factors affecting dystocia and offspring vigour in different sheep genotypes. Prev Vet Med. 2012;103(4):257-64. Available from: https://doi.org/10.1016/j.prevetmed.2011.09.002
(5) van der Brom R, Luttikholt S, Peterson K, Peperkamp NHMT, Mars M, Poel W. Epizootic of ovine congenital malformations associated with Schmallenberg virus infection. Tijdschrift voor diergeneeskunde. 2012;137:106-11.
(6) Jyothi K, Sudhakara Reddy B, Pridhvidhar Reddy Y, Prabhakara Rao K, Sivajothi S, Ganesan A. Pregnancy toxemia associated with Dystocia in a Nellore Brown Ewe. 2014. 
(7) Sheep 201. The Lambing Process [cited 2021 August 24]. Available from: http://www.sheep101.info/201/lambingprocess.html.
(8) Gootwine E. Variability in the rate of decline in birth weight as litter size increases in sheep. Animal Science. 2005;81:393-8. Available from: http://dx.doi.org/10.1079/ASC41160393",Expandable,136,,
142,Ewe Disease,"Ewe disease is important for lamb survival as lambs rely entirely on their dams for nourishment and protection for the first few weeks of life, including immune protection. Therefore, any disease of the ewe that reduces her ability to provide these vital thing to her lamb(s) reduced the chances of those lamb(s) surviving.",Button,99,"109, 105, 102, 115, 113",Causes
143,Predisposing Factors,"Things which make a ewe more likely to suffer from disease include:
- inappropriate nutrition. Either over or underweight ewes can be more likely to suffer from conditions like pregnancy toxaemia (1) and vaginal prolapses (2). If inadequate feed consumed by ewes during pregnancy and/or lactation, body condition will fall, calcium, magnesium and glucose levels will fall and mineral deficiencies may become apparent. 
- carrying multiple lambs increases the nutrients needed by the ewe. If nutrition is not appropriately targeted  low levels of calcium, magnesium and glucose in ewes' blood can result in clinical disease (1). 
- presence of other diseases makes ewes more susceptible to further disease due to a weakened immune system and reduced feed intake. 
- stress increases the chances of pregnancy toxaemia and hypocalcaemia due to sudden reductions in eating (1)
- high stocking density causes increased disease spread within the flock, as ewes (and lambs) are close together increasing the chance of transmission.",Expandable,142,,
144,Important/Common Ewe Diseases,"Diseases That Reduce Ewe Body Condition Score
Diseases which result in ewes having low body condition score (BSC) will impact negatively upon the survival of lambs. Ewes with a low body condition are more prone to disease around lambing, mismothering, giving birth to low birthweight lambs, poor colostrum production and dystocia. All of these reduce lamb survival. Common diseases that can lead to a low ewe BCS include:

- Undernutrition. To compensate, stores of energy such as body fat and muscle will be used up
- Fasciola hepatica (liver fluke), especially chronic infection during winter and spring (3), can dramatically reduce ewe body condition during late pregnancy and lactation
- Worms (or gastrointestinal nematodes) such as haemonchus contortus (barber pole worm), trichostrongyl and teladorsagia species may reduce body condition of ewes in summer and autumn before breeding. Trying to improve body condition during pregnancy is difficult and can be detrimental, particularly in late pregnancy as thus can result in large lambs prone to dystocia (3)
- lameness results in reduced feed intake
- poor teeth (or ""broken mouth"") interferes with the sheep's ability to feed. Teeth may be painful, and may make it hard to  acquire and chew grass
- Sheep scab is caused by the Psoroptes ovis mite. Infection results in intense itchiness causing wool loss, skin lesions and discomfort to the sheep. Weight loss is due to the intense itching reducing the feed intake and loss of protein though skin discharges (4)
- Chronic inflammatory conditions such as chronic pneumonia, mastitis and abscesses cause decreased feed intake and diversion of nutrients to fighting the disease
- Johne's Disease is caused by Mycobacterium avium subspecies paratuberculosis. Sheep lose weight, have a poor fleece, although affected ewes appear well until the end stages of disease.. During the end stages they become weak, unable to stand and develop ""bottle jaw"" (5). Diarrhoea is not a common feature. 
- Maedi Visna (MV) is a virus that causes weight loss alongside one or more of pneumonia, mastitis, lameness or incoordination (6). 
- Ovine Pulmonary Adenocarcinoma (OPA, or Jaagsiekte) is a tumour in the lung caused by infection with Jaagsiekte virus. Lung function is reduced, and there may be fluid discharge from the lungs out of the nose. Jaagsiekte is contagious through those discharges, air, colostrum and milk. (7) 
- Other less common causes include intestinal adenocarcinoma (cancer of the intestines), scrapie and kidney disease

See the FAS technical note ""Body Condition Scoring of Mature Sheep"" for more guidance on how to BCS here: https://www.fas.scot/downloads/tn702-body-condition-scoring-mature-sheep/

Mastitis
Mastitis is an important condition when considering lamb survival, as it causes a reduced milk yield and quality. The udder may also be painful, so ewes are reluctant to allow lambs to suckle. This results undernutrition of the lamb, which can lead to starvation, hypothermia and reduced lamb growth rates. In newly lambed ewes, mastitis can reduce colostrum quality and quantity, and reduce lamb suckling, resulting in reduced colostrum intake and its associated benefits (8). 

Mastitis is inflammation of the ewe's udder(s). It is thought to occur in 0-6.6% of ewes in the UK each year (8). Mastitis in sheep is often caused by a bacterial infection. There are over 30 species of bacteria which can cause mastitis in ewes, including Staphylococcus aureus, Mannheimia haemolyticia and E. Coli. Mastitis can be acute (sudden onset) or chronic (long lasting) and mastitis is more likely to occur when (8):

- ewes in the flock or group already have it, as mastitis can be contagious and spread between ewes
- ewes are underfed during late pregnancy and during lactation
- ewes have low BCS
- hygiene at lambing time is poor and ewes are kept indoors for prolonged periods, as bacteria in the environment build up, increasing the likelihood of causing infection in the ewe
- udder conformation is poor
- the ewe is more than four years old
- the ewe is lambing for the first time
- udders or teats are damaged or infected with orf
- a ewe is infected with Maedi Visna, which can cause the udder to be large, firm and unproductive

Symptoms include:
- heat in the udder
- swelling
- pain in the udder which may cause the ewe to appear lame
- milk being watery, bloody or containing clots
- the ewe looking sick and not eating 
- lambs not being allowed to suckle or looking hungry
- lumps in the udder 
- discolouration of the udder e.g. the udder can look red, black or blue. 

 For more information on mastitis see Understanding Mastitis by AHDB, 2018 at https://projectblue.blob.core.windows.net/media/Default/Imported%20Publication%20Docs/BRP+%20Understanding%20mastitis%20in%20sheep1674_2018-11-22_WEB.pdf

Pregnancy Toxaemia/ Twin Lamb Disease
Pregnancy toxaemia is a metabolic disease which occurs in the final 4-6 weeks of pregnancy. Ewes in incorrect body condition (either too high or low) and carrying multiple lambs are most likely to suffer. Ewes in late pregnancy have high energy demands. When feed intake is low, but energy requirements are high, blood glucose levels in the ewe can fall. This results in symptoms like lethargy, separation from other sheep, not eating, muscle tremors, apparent blindness and ""star gazing"". Lambs may be aborted while the ewe is unwell, if they are born alive the ewe is unlikely to be able to nurse the lamb(s). Treatment needs to be prompt and aggressive but may still not be effective and may affected ewes die. Seek veterinary advice immediately. 

Hypocalcaemia
Hypocalcaemia is a metabolic disorder  normally seen in the final 8 weeks of pregnancy or in early lactation.  It is most common in ewes carrying multiple lambs, as more calcium will be required both before and after birth. Older ewes are at increased risk (1). Symptoms include depression, weakness and inability to stand. Rumen stasis also occurs (the rumen stops working) resulting in mild bloat and reflux, causing green fluid to come from the nose and mouth (9). Untreated ewes will eventually become comatose and die. Hypocalcaemia puts ewes at an increased risk of dystocia, prolapse, mastitis, pregnancy toxaemia and metritis (10), all of which are known to affect lamb survival. 

If multiple ewes are affected, the diet should be asses and adjusted. Hypocalcaemia is also seen more commonly after incorrect mineral supplementation, stressful events, change of diet and movement or housing before lambing. Prompt treatment is required, seek veterinary advice. 

Vaginal Prolapse
During prolapses internal organs protrude through the vulva. This is most common in ewes during late pregnancy, particularly if carrying multiple lambs (11). It is made more likely by ewes being overweight, having limited exercise, lameness resulting in increased lying time and hypocalcaemia. Prolapses are a significant cause of ewe mortality. Vaginal prolapse is seen in around 1% of ewes, although some flocks can have significantly higher prevalence (2). Ewes will present with a pink/red bulge from the vulva. The size can vary between that of a tennis ball and a melon. Affected ewes may behave as if they are in labour, separating themselves from the rest of the flock, abdominal straining and vocalisation. Prolapses increase the risk of abortion, dystocia, stillborn and lamb mortality. 

Prolapsed tissue should be cleaned using warm, clean water and gently returned inside the body. The prolapse can be secured inside the vulva using a prolapse spoon, harness or sutures performed by a veterinary surgeon. For severe cases veterinary assistance will be needed. The method of restraint needs to remain in place until lambing and be replaced after lambing. Most methods of restraint needs to be removed as lambing starts, therefore affected ewes need to be monitored closely for signs of lambing. Housing these ewes ere they will be seen several times a day can help with monitoring. Clearly mark affected ewes so they can be easily identified when selecting ewes for culling. 

Other Diseases
Any disease that decreases a ewe's appetite, causes depression, pain or increased lying time will reduce interaction between the ewe and lamb, and reduce milk production can affect lamb survival. These can affect the ewe-lamb bond, opportunity for the lamb(s) to suckle and the availability of milk. Therefore, other conditions in the ewe such as metritis, listeria, heat stress and many others, can have a significant impact on lamb survival. When ewes are found to be suffering from such conditions, attention should also be paid to ensuring the lamb received adequate nutrition and protection from cold and predators.",Expandable,142,,
145,Effects of Ewe Disease,"Ewe disease can cause:
- increased ewe mortality, which increases lamb mortality
- increased lamb mortality, due to
   - mismothering due to the ewe feeling unwell and not attedening to her lamb(s)
   - starvation if the ewe's udder or milk production are affected
   - hypothermia due to decreased milk intake and mismothering",Expandable,142,,
146,Controlling Ewe Disease,"The incidence of ewe disease can be reduced by: 
- good hygiene to reduce the spread of infectious disease
- ewe nutrition and monitoring of ewe body condition 
- ewe observation so signs of disease can be identified early. Early intervention is key to successful treatment of many conditions 
- selecting healthy ewes and their lambs for breeding should to reduce recurrence or inheritance of traits that predispose to a disease
- reducing stress around lambing time
- monitoring for disease, and veterinary involvement in the diagnosis and treatment of disease or development of specific control programmes",Expandable,142,,
147,References,"(1) AHDB. Feeding the ewe; 2018 [cited 2021 August 19]. Available from: https://ahdb.org.uk/knowledge-library/feeding-the-ewe.
(2) HCC. Making Every Lamb Count; 2011 [cited 2021 August 18]. Available from: https://meatpromotion.wales/en/industry-resources/sheep-management.
(3) Abbott K, Taylor M, Stubbings L. Sustainable worm control strategies for sheep. A Technical Manual for Veterinary Surgeons and Advisors. SCOPS 4th edition; 2012. Available from: https://www.scops.org.uk/workspace/pdfs/scops-technical-manual-4th-edition-updated-september-2013.pdf
(4) NADIS, Simcock E. Sheep Scab; 2019 [cited 2021 August 18]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/sheep-scab/.
(5) NADIS, Scott P. Johne's Disease (Paratuberculosis). 2011 [cited 2021 August 19]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/johnes-disease-paratuberculosis/
(6) SRUC. Maedi Visna (MV) in Sheep; 2020 [cited 2021 August 20]. Available from: https://www.sruc.ac.uk/media/wbobswkd/mv_insert_2020-1.pdf.
(7) NADIS, Scott P. Ovine Pulmonary Adenocarcinoma (OPA); 2016 [cited 2021 August 17]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/ovine-pulmonary-adenocarcinoma-opa/.
(8) AHDB. Understanding mastitis in sheep; 2018 [cited 2021 August 18]. Available from: https://ahdb.org.uk/knowledge-library/understanding-mastitis-in-sheep.
(9) NADIS, Scott P. Pre-lambing Bulletin Ewe Nutrition and Metabolic Diseases; 2010 [cited 2021 August 19]. Available from: https://www.nadis.org.uk/disease-a-z/sheep/pre-lambing-bulletin-ewe-nutrition-and-metabolic-diseases/ 
(10) Friend M, Bhanugopan M, McGrath S, Ataollahi F, Scarlett S, Robertson S et al. Managing metabolic disorders in pregnant ewes to improve ewe and lamb survival. The Rocks, NSW: Australian Wool Innovation Limited, 2018. 85 p. 
(11) Jackson R, Hilson RP, Roe AR, Perkins N, Heuer C, West DM. Epidemiology of vaginal prolapse in mixed-age ewes in New Zealand. N Z Vet J. 2014;62(6):328-37. Available from: https://doi.org/10.1080/00480169.2014.925788",Expandable,142,,
148,Hypothermia,,Button,99,"101, 117, 105, 103, 102",Causes
149,Predisposing Factors,"Things are are likely to predispose lambs to hypothermia are:
- low colostrum intake after birth causes a drop in energy levels, which means body temperature cannot be maintained (1). 
- mismothering can cause the lamb to get cold due to it not being licked dry or not being allowed to nurse
- cold or wet weather will cause the lamb to lose more heat
- small lambs have less brown fat reserves which are needed to keep the lamb warm until it can nurse colostrum and use the milk as an energy source (2). Lamb with a low birthweight have been shown to have a higher mortality rate (3), as well as low lamb weight being associated with more deaths due to hypothermia (4). Triplets also more likely to die from hypothermia due to low birth weight.",Expandable,148,,
150,What is Hypothermia?,"Hypothermia is when the body temperature of the animal is below the normal temperature (39-40°C). Most commonly, this happens due to excessive heat loss e.g. if the weather is cold, or due to starvation. In the first few hours of life, lambs will use the brown fat reserves they built up in the womb as an energy source to keep themselves warm. When these run out, the lamb will need energy from colostrum. Hence, if they have not nursed, they will not have enough energy to keep themselves warm and develop hypothermia. The cause of hypothermia should be investigated to ensure it doesnt reoccur. See Starvation for more information on causes of starvation, as it commonly leads to hypothermia. 

Lambs can appear:
- weak
- shivering
- lying down 
- unresponsive
- separated from ewe
- lamb looks ""empty"" due to not feeding
If a lamb is suspected to be cold, the lamb's temperature should be taken. This can be done quickly by putting a clean finger in the lambs mouth, as this can be a rough indicator of it the lamb is cold or not. A rectal thermometer should be used to determine if the lamb is suffering from hypothermia. Temperatures can be (1):
- over 40°C - the lamb is suffering from a fever or overheating
- 39-40°C - normal body temperature
- 37-39°C - moderate hypothermia
- less than 37°C - severe hypothermia

See Warming the Lamb for how to treat hypothermia.",Expandable,148,,
151,Effects of Hypothermia,"Lambs suffering from hypothermia are prone to:
- lamb mortality",Expandable,148,,
152,Preventing Hypothermia,"Hypothermia mortality can be prevented by: 
- adequate colostrum intake to ensure the lamb has an energy source to keep itself warm when the brown fat runs out
- warming the lamb if it is suffering from hypothermia 
- correct ewe nutrition so lambs have a good birthweight and hence have good brown fat reserves and are strong enough to nurse quickly
- bonding protocols to prevent mismothering so the lamb can nurse from the ewe
- providing a sheltered place for ewes to lamb if outdoors
- careful observation of ewes and lambs, especially during cold weather to ensure that any newborn lambs are promptly licked dry and for signs of hypothermia",Expandable,148,,
153,References,"(1) AHDB Beef & Lamb. Reducing lamb losses for Better Returns; 2020 [cited 2021 August 23]. Available from: https://ahdb.org.uk/knowledge-library/reducing-lamb-losses-for-better-returns-2.
?(2) Menzies PI. Lambing Management and Neonatal Care. Current Therapy in Large Animal Theriogenology. 2007:680-95. Available from: https://dx.doi.org/10.1016%2FB978-072169323-1.50094-5
(3) McLaren A, Kaseja K, Moore K, Mucha S, Dwyer C, Conington J. Lamb survival & ewe longevity; 2015 [cited 2021 August 23]. Available from: https://www.nationalsheep.org.uk/workspace/pdfs/coningtonjo22112015101634.pdf.
(4) Abdelqader A, Irshaid R, Tabbaa Mohammad J, Abuajamieh M, Titi H, Al-Fataftah A-R. Factors influencing Awassi lambs survivorship under fields conditions. Livestock Science. 2017;199:1-6. Avaliable from: https://doi.org/10.1016/j.livsci.2017.03.007",Expandable,148,,
154,Lamb Disease,,Button,99,"101, 111, 109, 105, 102, 115",Causes
155,Predisposing Factors,"Things that can make a lamb more likely to suffer from disease shortly after birth include:
- reduced or delayed colostrum intake, as colostrum is essential for immune protection in young lambs (1). Colostrum intake can be reduced if the ewe doesn't have enough colostrum for the lambs, for example if she has multiple lambs in a litter, if she is suffering from disease or if genetic factors influence colostrum production. Sometimes ewes have enough milk, but the lamb isn't able to suckle enough: due to mismothering, the lamb being weak, small, unwell, having too much competition from litter mates or having undergone a difficult birth. Triplets or larger litters are at higher risk of lamb disease due to the reduced colostrum production of the ewe compared to ewes carrying twins and singles, as well as more competition (2). 
- poor hygiene (dirty, damp conditions) increases the number of bacteria present in the environment which could potentially infect the lamb (3, 4). Hygiene tends to be poorer with high stocking rates and indoors compared to outdoors. The bacteria can infect lambs by mouth, for example from dirty ewe teats, or through  wounds e.g. the navel, castration or tail wounds. Towards the end of the lambing season there is a higher risk of infectious diseases due to a build-up of bacteria in the lambing shed over the lambing period. This is less common in outdoor systems due to increased space and better ventilation. 
- low birth weight makes lambs more susceptible to disease (5). Low birth weight can be influenced by various factors including ewe disease, ewe nutrition and being part of a large litter. There is a strong correlation between low birth weight and lamb mortality (6). 
- genetics are an important factor in some diseases, and genetics also determine the ewe's mothering ability, litter size and colostrum production (7, 8, 9). 
- male lambs have a higher mortality rate than females (6). One theory is that this is due to their navel drying more slowly than female lambs due to urine re-wetting the navel. A wet navel increases the chance of infection through that route.",Expandable,154,,
